cod,razao,fantasia,endereco,numero,bairro,cidade,uf,vendedores,lat,lng,precisao
17670,COML.DE FRIOS QUINE LTDA,COML.DE FRIOS QUINE LTDA,R BARTOLO BOLOGNANI,225,CATA,OURO FINO,MG,2;27;53;97,-22.283056,-46.369167,cidade
17681,EUZEBIO DONIZETTI DE OLIVEIRA,MERCADINHO PONTO CERTO,TV ANTONIO EUGENIO DA FONSECA,75,CACHOEIRINHA,CONCEICAO DOS OUROS,MG,14;36;62;80,-22.4124143,-45.797067,cidade
17682,RODRIGUES & RODRIGUES SUPERMERCADOS LTDA,SM.CENTRAL,PRACA SANTANA,12,CENTRO,SILVIANOPOLIS,MG,29;40;54;81;159;192;902,-22.0296581,-45.8363592,rua
17691,MARIA LUCIA GROSSI LABEGALINI ME,MARIA LUCIA GROSSI LABEGALINI,AV.BRASILIA,39,PQ DAS NACOES,JACUTINGA,MG,2;27;53;97,-22.3016782,-46.6105061,rua
17695,NIEVERSON ANTONIO SOUTO,NIEVERSON ANTONIO SOUTO LOJA 1,RUA RAIMUNDA MARQUES GUIMARAES,555,JARDIM GLORIA,LAVRAS,MG,129,-21.2412073,-45.0083579,rua
17702,COM. DE ALIMENTOS SUPER SAO FRANCISCO LTDA,COM. DE ALIMENTOS SUPER SAO FR,R. COIMBRAS,522,COIMBRAS,PASSOS,MG,12;22;45;65,-20.7008136,-46.6159796,rua
17707,ORGANIZACAO REAL LTDA LOJA CD,ORGANIZACAO REAL LTDA LOJA CD,R. AEROPORTO,185,AEROCLUBE,CAMPO BELO,MG,23;46;63;177;904,-20.8668764,-45.2872841,rua
17713,CEBEVIL CEREALISTA BELA VISTA LTDA,CEBEVIL CEREALISTA BELA VISTA,R.SEVERO VELOSO,1707,BELA VISTA,PIUMHI,MG,13;57;166,-20.4588829,-45.9555188,rua
17715,MARIA JOSE OPUSCULO ESPERANCA,SM.STA RITA,R.ROMILDA CAMPANHARI,269,CENTRO,ALBERTINA,MG,2;27;53;97,-22.2014124,-46.6187772,rua
17717,OPCAO BEBIDAS DISTRIBUIDORA LTDA,OPCAO BEBIDAS DISTRIBUIDORA,RUA TEREZA HOSTALACIO,815,CENTRO,PIUMHI,MG,13;57;166;911,-20.4675258,-45.9576125,cidade
17727,ELAINE CRISTINA DE JESUS BRITO ME,SM.PAIS E FILHOS,R.DOMINGOS VIEIRA DE LIMA,629,CENTRO,SANTANA DA VARGEM,MG,35;47;69;95,-21.2517499,-45.5054921,rua
17736,LAMOUNIER E RODRIGUES SUPERMERCADO LTDA,SM.ITA,RUA DOUTOR LEOPOLDO CORREIA,138,NOSSA SENHORA DAS GRACAS,ITAPECERICA,MG,73;74,-20.472778,-45.125556,cidade
17752,COMERCIAL DA ROCHA LTDA ME,MERC DO CARLINHOS,RUA NOSSA SENHORA DA CONCEICAO,501,POV DE CORUMBA,CLAUDIO,MG,73;74,-20.4038935,-44.6881968,rua
17763,ACHEI FARMA 2 REDE DE DROGARIAS LTDA,ACHEI FARMA,R DOS GUARANIS,450,NOSSA SENHORA APARECIDA,PASSOS,MG,12;22;45;65,-20.7448222,-46.6061894,rua
17769,ALEX SANDRO DIAS COSTA,ALEX SANDRO DIAS COSTA,R.DR.RIBEIRO DA LUZ,1076,CENTRO,SAO LOURENCO,MG,39;43;82,-22.1164998,-45.0518022,rua
17790,MERCEARIA BOM SUCESSO E NUNES LTDA ME,MERCEARIA BOM SUCESSO E NUNES,AV.PREF. JOSE WANDERLEY LARA,520,N.S.APARECIDA,BOM SUCESSO,MG,20;66;71;178,-21.0323516,-44.7598082,cidade
17796,ROSANGELA MARIA VALERIANO VENERANDO,ROSANGELA MARIA V VENERANDO ME,A.V BELO HORIZONTE,09,JARDIM ELDORADO,MONTE BELO,MG,110;112;113,-19.8154802,-43.8901503,rua
17806,GIOVANI CAMPIONI GARCIA,GIOVANI CAMPIONI GARCIA,R.ANTONIO PAULINO (MERC.MUNIC.BOX 27/29),770,CENTRO,SANTA RITA DO SAPUCAI,MG,14;36;62;80,-22.2486968,-45.7064507,cidade
17829,DROGARIA DOCTOR MINAS MASTER LTDA,DROGARIA MINAS MASTER,RUA SANTA CRUZ,686,CENTRO,VARGINHA,MG,50;60;84;101,-21.5509274,-45.441298,rua
17850,MOACYR EXPRESS COMERCIO LTDA,MOACYR EXPRESS COMERCIO LTDA,R. NOSSA SENHORA DAJUDA,425,CENTRO,TRES PONTAS,MG,35;47;69;95;124,-21.3686224,-45.5122937,cidade
17855,PAULO JOSE REIS CORREIA,COM.REIS,R.JOSE DE OLIVEIRA LOPES,181,SAO JOSE,PEDRALVA,MG,32;52;72;156,-22.2493171,-45.4656161,rua
17865,ANTONIO CARLOS GARCIA,M.MERC.GARCIA,ROD.GOVERNADOR J.K.DE OLIVEIRA,1229,CENTRO,IPUIUNA,MG,89;90;107;109,-22.0993203,-46.1896557,cidade
17867,MARCOS VALERIO DIAS,MARCOS VALERIO DIAS,AV.DR.ANTONIO BRAGA FILHO,687,VARGINHA,ITAJUBA,MG,32;183,-22.429292,-45.4484795,rua
17884,FRANCISCO MARQUES COSTA JUNIOR,FRANCISCO MARQUES COSTA JUNIOR,R SAO PAULO,441,BELA VISTA,PASSOS,MG,12;22;45;65,-20.7195959,-46.5997096,rua
17885,MERCEARIA BELA VISTA LTDA,MERCEARIA BELA VISTA LTDA,AV.PEDRO NICOLA,2508,JD.BELA VISTA,GUAXUPE,MG,10;42;86;172,-21.2896079,-46.7192711,rua
17906,MERCADO AGUIAR EIRELI,MAURA GOMES DE AGUIAR,R.JOAQUIM EVARISTO MOTA,35,DIST.STA BARBARA,PIRANGUINHO,MG,88;92;94;155,-22.362977,-45.5565273,rua
17927,RONNIE VON SOARES PEREIRA MERCEARIA - ME,RONNIE VON SOARES PEREIRA MERC,AVENIDA PREFEITO NILZO DE FARIA,173,BARRO BRANCO,SAO ROQUE DE MINAS,MG,13;57;166,-20.245277,-46.365833,cidade
17933,JOSE TADEU DE SOUZA ME,JOSE TADEU DE SOUZA ME,R.JOAO PAULO II,70,CENTRO,BOM REPOUSO,MG,51;56;98;116;923,-22.4646284,-46.1509331,rua
17934,CLAUDIVAN AGOSTINHO MENDES,CLAUDIVAN AGOSTINHO MENDES,R.MARIA ADELAIDE MENDONCA,487,REBOURGEON,ITAJUBA,MG,32;52;72;156,-22.4238234,-45.4524156,cidade
17936,MAURO LINEU DE PAULA,PASTELARIA DO MAURO,R.MAJOR PANTALEAO,107,CENTRO,ANDRADAS,MG,96;106;135,-22.0759917,-46.5765921,rua
17938,MINIMERCADO 2 S LTDA,MINIMERCADO 2 S LTDA,AV.ZEZE AMARAL,665,JOSE O.BRANDAO,SAO SEBASTIAO DO PARAISO,MG,7;8;79;168,-20.9059537,-46.9855841,rua
17947,PINHEIRO SUPERMERCADO LTDA,PINHEIRO SUPERMERCADO LTDA,RUA XV DE NOVEMBRO,675,JARDIM PRIMAVERA,ILICINEA,MG,3;37;100;161,-20.9390196,-45.8263558,cidade
17959,JOSE FRANCISCO DE SOUZA ME,JOSE FRANCISCO DE SOUZA ME,AV.ARTUR RIBEIRO GUIMARAES,464,JD.AMERICA,POUSO ALEGRE,MG,61;81;157;167,-22.2293306,-45.9448787,rua
17965,RONALDO RIBEIRO DOS SANTOS,RONALDO RIBEIRO DOS SANTOS,RUA JOAO GONCALVES DA FONSECA,553,CENTRO,VIRGINIA,MG,55;58;93,-22.333333,-45.091666,cidade
17988,MINI BOX NOVO TEMPO LTDA ME,MINI BOX NOVO TEMPO LTDA ME,PCA.NAGIB MOHALLEM,8,CENTRO,CONCEICAO DO RIO VERDE,MG,17;34;91,-21.881078,-45.0868526,cidade
17990,DROGARIA DE PAULA EIRELI,CARDOSO DROGARIA E PERFUMARIA,AV.PREF.OLAVO GOMES DE OLIVEIRA,1794,ARISTEU COSTA RIOS,POUSO ALEGRE,MG,184,-22.2343858,-45.9327241,cidade
17993,SUPERMERCADO MORAIS LTDA,ADEMIR FERNANDES DE MORAES,R.FRANCISCO SILVERIO DE ALMEIDA,168,SAO LUIZ,CAMPO BELO,MG,23;46;63;177,-20.8975,-45.277223,cidade
17994,PANIF.TRIGOBELO LTDA ME,PANIF.TRIGOBELO LTDA ME,R. CATAGUASES,161,SAO LUIZ,CAMPO BELO,MG,23;46;63;177,-20.8883916,-45.2847932,rua
18007,HIPER VERDURAO LTDA,JOAO BATISTA DE CARVALHO ME,RUA PROFESSOR AZARIAS RIBEIRO,58,CENTRO,LAVRAS,MG,129,-21.2472389,-45.0008242,rua
18015,MARIA ELENICE DE LIMA SILVEIRA,MERC.2IRMAS,R.POETA JOAO CARNEIRO REZENDE,257,CENTRO,PEDRALVA,MG,32;52;72;156,-22.2470804,-45.4668552,rua
18016,SM.PIERROTTI LTDA,REDE VALOR,R. DR.BRANDAO,260,CENTRO,CAMPANHA,MG,26;38;70;123;162,-21.8342964,-45.3996157,rua
18025,MERCADINHO GUIMARAES & LUZ LTDA ME,MERCADINHO GUIMARAES & LUZ LTD,R.FEDERICO RIGOTTI,411,CENTRO,SAO SEBASTIAO DO RIO VERDE,MG,55;58;93,-22.2174751,-44.9783312,cidade
18047,CASA DE CARNES MERC.IRMAOS BELLOTO LTDA ME,CASA DE CARNES MERC.IRMAOS BEL,RUA BENEDITO FELISBERTO DOS REIS,254,JD.PRIMAVERA,ANDRADAS,MG,96;106;135,-22.0608576,-46.5690861,rua
18062,JOAO PAULO RIBEIRO,JOAO PAULO RIBEIRO,R.COMENDADOR JOAO CARNEIRO,121,CENTRO,CRISTINA,MG,88;92;94;155,-22.2166502,-45.2665147,rua
18084,MERCADINHO TRES CORACOES LTDA,MERCADINHO TRES CORACOES LTDA,R. TRES CORACOES,1190,SAO JOAO,POUSO ALEGRE,MG,61;81;157;167;192,-22.2404492,-45.967431,rua
